id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform
1024,TV Show,"That Winter, the Wind Blows",,"Zo In-sung, Song Hye-kyo, Kim Bum, Jung Eun-ji, Bae Jong-ok, Young-hoon Kim",South Korea,"April 1, 2019",2013,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Seeing the chance to enrich himself by deceiving a blind heiress, clever con man Oh Soo just does what comes naturally – but his plans soon change.",Netflix
1025,Movie,The Republic of Imbaba,Ahmed Al-Badry,"Bassem Samra, Ola Ghanem, Ahmad Wafiq, Feryal Youssef, Ayman Kandil, Inas Ezz El Din, Mohamed Farouk",,"June 6, 2019",2015,TV-14,90 min,"Dramas, International Movies","Living on the edges of Cairo’s Embabah neighborhood, several residents seek to better their circumstances following the January 25 Revolution.",Netflix
1026,Movie,The Dancer,Ifa Isfansyah,"Prisia Nasution, Oka Antara, Slamet Rahardjo, Dewi Irawan, Lukman Sardi, Tio Pakusadewo",Indonesia,"December 8, 2018",2011,TV-MA,105 min,"Dramas, International Movies, Romantic Movies","Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer.",Netflix
1027,Movie,Secrets of Chatsworth,Susannah Ward,Samuel West,United States,"February 22, 2017",2013,TV-PG,54 min,"Documentaries, International Movies","Tales of tragedy and scandal unfold through the history of Chatsworth, a grand estate that has been home to some of England's most noted aristocrats.",Netflix
1028,Movie,Thiago Ventura: POKAS,"Fabio Ock, Joana Mazzucchelli",Thiago Ventura,Brazil,"July 2, 2020",2020,TV-MA,82 min,Stand-Up Comedy,"In a rollicking special, Thiago Ventura jokes about life in the hood, social issues and more, explaining how actions speak louder than words.",Netflix
1029,Movie,Halo: The Fall of Reach,Ian Kirby,"Jen Taylor, Steve Downes, Michelle Lukes, Britt Baron, Travis Willingham, John Bently, Todd Haberkorn, Cole Jensen",United States,"March 7, 2016",2015,TV-14,65 min,"Action & Adventure, Sci-Fi & Fantasy",Witness the origins of Master Chief and the Spartan program as a group of children transform into enhanced soldiers and fight a powerful alien threat.,Netflix
1030,Movie,The Long Riders,Walter Hill,"David Carradine, Keith Carradine, Robert Carradine, James Keach, Stacy Keach, Dennis Quaid, Randy Quaid, Kevin Brophy, Harry Carey Jr., Christopher Guest, Nicholas Guest, Shelby Leverington, Felice Orlandi, Pamela Reed, James Remar, Fran Ryan, Savannah Smith Boucher, Amy Stryker, James Whitmore Jr.",United States,"July 1, 2021",1980,R,100 min,Action & Adventure,"This Western chronicles the misadventures and demise of the James-Younger gang, 19th-century outlaws who tore through Missouri on a crime spree.",Netflix
1031,Movie,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath","Remy Ishak, Mira Filzah, Jack Tan, Sangeeta Krishnasamy, Shashi Tharan, Mark O'Dea, Jenn Chia, Sharifah Sakinah",Malaysia,"July 6, 2021",2018,TV-PG,101 min,"Dramas, International Movies","Inspired by Malaysia's 14th General Election, this film trails six individuals and the obstacles they face in the days leading up to the historic event.",Netflix
1032,TV Show,Second 20s,,"Choi Ji-woo, Lee Sang-yun, Choi Won-young, Kim Min-jae, Son Na-eun, Jung Soo-young, Choi Yoon-so, Park Hyo-ju",South Korea,"October 16, 2019",2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",Netflix
1033,Movie,Punjab 1984,Anurag Singh,"Diljit Dosanjh, Kiron Kher, Sonam Bajwa, Pavan Malhotra, Rana Ranbir, Vishwas Kini, Manav Vij, Vansh Bhardwaj","Canada, India","November 1, 2017",2014,TV-14,158 min,"Dramas, International Movies","During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist.",Netflix
1034,Movie,A Billion Colour Story,Padmakumar Narasimhamurthy,"Dhruva Padmakumar, Gaurav Sharma, Vasuki",India,"April 1, 2018",2016,TV-14,104 min,"Dramas, Independent Movies, International Movies",The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,Netflix
1035,TV Show,Victorious,,"Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies, Ariana Grande, Avan Jogia, Daniella Monet, Michael Eric Reid, Jake Farrow, Eric Lange",United States,"November 2, 2019",2013,TV-G,3 Seasons,"Kids' TV, TV Comedies","When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.",Netflix
1036,TV Show,Awake: The Million Dollar Game,,James Davis,United States,"June 14, 2019",2019,TV-PG,1 Season,Reality TV,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize.",Netflix
1037,Movie,Maria,Pedring A. Lopez,"Cristine Reyes, Germaine De Leon, KC Montero, Ronnie Lazaro, Freddie Webb",Philippines,"May 17, 2019",2019,TV-MA,90 min,"Action & Adventure, International Movies","An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts.",Netflix
1038,Movie,The Devil All The Time,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",United States,"September 16, 2020",2020,R,139 min,"Dramas, Thrillers",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,Netflix
1039,Movie,Theater of Life,Peter Svatek,Massimo Bottura,Canada,"July 18, 2017",2016,TV-PG,94 min,Documentaries,This documentary follows chef Massimo Bottura as he opens a soup kitchen to cook gourmet meals for the needy from food waste at the 2015 Milan Expo.,Netflix
1040,Movie,The Land of Cards,Qaushiq Mukherjee,"Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta",India,"November 22, 2016",2012,TV-14,113 min,"Dramas, Independent Movies, International Movies",A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.,Netflix
1041,Movie,Nathicharami,Mansore,"Sruthi Hariharan, Sanchari Vijay, Sharanya, Balaji Manohar, Greeshma Sridhar, Harshil Koushik, Shaanthala, Gopalkrishna Deshpande",India,"January 28, 2019",2018,TV-MA,114 min,"Dramas, Independent Movies, International Movies","Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality.",Netflix
1042,Movie,Triple 9,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Clifton Collins Jr., Norman Reedus, Woody Harrelson, Kate Winslet, Teresa Palmer, Michael Kenneth Williams, Gal Gadot",United States,"December 8, 2020",2016,R,115 min,"Dramas, Thrillers",A group of dirty Atlanta cops blackmailed by the Russian mob plan a seemingly impossible heist that sets off an explosive chain reaction of violence.,Netflix
1043,TV Show,"Roswell, New Mexico",,"Jeanine Mason, Nathan Parsons, Michael Vlamis, Lily Cowles, Tyler Blackburn, Heather Hemmens, Michael Trevino, Trevor St. John",United States,"June 23, 2020",2020,TV-14,2 Seasons,"Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy","After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner.",Netflix
1044,Movie,22 July,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States","October 10, 2018",2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",Netflix
1045,Movie,Dragonkala Ka Rahasya,Rajiv Chilaka,,,"June 18, 2019",2018,TV-Y,68 min,Children & Family Movies,"Bheem helps to reopen Dragonpur's abandoned magic and martial arts school, but is tested like never before when an ex-student returns seeking revenge!",Netflix
1046,Movie,Then Came You,Peter Hutchings,"Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess",United States,"June 2, 2021",2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.,Netflix
1047,Movie,History of Joy,Vishnu Govindhan,"Vishnu Vinay, Vinay Forrt, Saikumar, Joju George, Nobi, Sreekumar, Nandu, Sunil Sukhada",India,"August 1, 2018",2017,TV-14,118 min,"Dramas, International Movies",The life of a high-flying law student takes a drastic turn when a bout of misfortune changes his status in society for good.,Netflix
1048,Movie,S.W.A.T.: Under Siege,Tony Giglio,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",United States,"April 1, 2021",2017,R,89 min,"Action & Adventure, International Movies","When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him.",Netflix
1049,Movie,Dedemin Fisi,Meltem Bozoflu,"Onur Buldu, Alper Kul, Erdem Yener, Onur Atilla, Özge Borak, Doğa Rutkay, Meltem Yılmazkaya, İrem Sak",Turkey,"April 23, 2021",2016,TV-14,101 min,"Comedies, International Movies","When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money.",Netflix
1050,Movie,Fate: The Winx Saga - The Afterparty,,"David Spade, London Hughes, Fortune Feimster, Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum",United Kingdom,"February 20, 2021",2021,TV-14,36 min,"Comedies, Dramas","Stars of the fiery hit discuss the show's magic, play trivia and chow down on hot wings. Then, Taylor Tomlinson shares how she would use fairy powers.",Netflix
1051,TV Show,No Game No Life,,"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Mugihito, Naomi Shindo",Japan,"February 1, 2020",2014,TV-MA,1 Season,"Anime Series, International TV Shows",Legendary gamer siblings Sora and Shiro are transported to a world where life is a series of games and humanity is in grave danger of extinction.,Netflix
1052,Movie,After Maria,Nadia Hallgren,,United States,"May 24, 2019",2019,TV-PG,38 min,Documentaries,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.",Netflix
1053,TV Show,Maharakshak Devi,,"Umang Jain, Indraneil Sengupta, Rohit Bakshi, Karan Suchak, Shresth Kumar, Ankit Gera, Rushiraj Pawar, Nikita Sharma, Varun Kapoor, Kamalika Guha Thakurta, Sahil Uppal, Charu Asopa",India,"April 15, 2017",2015,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","After years spent in isolation, a young girl with extraordinary powers returns to human society to battle dark, mythological beings.",Netflix
1054,Movie,Mobile Suit Gundam Hathaway,Shuko Murase,"Kensho Ono, Reina Ueda, Junichi Suwabe",,"July 1, 2021",2021,TV-14,96 min,"Action & Adventure, Anime Features, International Movies","After Char’s rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",Netflix
1055,Movie,Empire of Scents,Kim Nguyen,,"Canada, France, Italy, Morocco, United States","January 1, 2018",2014,TV-14,87 min,"Documentaries, International Movies",This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.,Netflix
1056,TV Show,The Letdown,,"Alison Bell, Duncan Fellows, Noni Hazlehurst, Sacha Horler, Leon Ford, Lucy Durack, Leah Vandenberg, Celeste Barber, Xana Tang, Patrick Brammall",Australia,"July 31, 2019",2019,TV-MA,2 Seasons,"International TV Shows, TV Comedies, TV Dramas","Audrey, mother of a 2-month-old, joins a new-parents support group, where she makes some quirky friends facing various challenges and life changes.",Netflix
1057,Movie,Wish You,Sung Do-jun,"Kang In-soo, Lee Sang, Soo-bin",South Korea,"January 15, 2021",2021,TV-PG,102 min,"Dramas, International Movies, LGBTQ Movies","Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.",Netflix
1058,Movie,Sen Kimsin?,Ozan Açıktan,"Tolga Çevik, Köksal Engür, Pelin Körmükçü, Toprak Sergen, Zeynep Özder",Turkey,"March 10, 2017",2012,TV-14,102 min,"Comedies, International Movies","Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another.",Netflix
1059,TV Show,Legend Quest,,"Benny Emmanuel, Mayté Cordeiro, Andrés Couturier, Ricardo O'Farrill, Alondra Hidalgo, Alejandro Villeli, Sofía Niño de Rivera, Johnny Rose, Annemarie Blanco, Oscar Cheda, Paul Tei, Cydney J. Fam, Lisa Grossman",Mexico,"February 24, 2017",2017,TV-Y7,1 Season,Kids' TV,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",Netflix
1060,Movie,Lagos Real Fake Life,Mike Ezuruonye,"Nonso Diobi, Mike Ezuruonye, Mercy Aigbe, Rex Nosa, Annie Macaulay Idibia, Ik Ogbonna, Nedu Wazobia, Uzee Usman, Odunlade Adekola, Mr Jollof, Efe Irele, Josh 2 Funny, Haillie Sumney, Emmanuella, MC Lively",,"November 29, 2019",2018,TV-MA,118 min,"Comedies, International Movies","Two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus.",Netflix
1061,Movie,What We Wanted,Ulrike Kofler,"Lavinia Wilson, Elyas M'Barek, Anna Unterberger, Lukas Spisser, Iva Höpperger, Fedor Teyml, Marta Manduca, Maria Hofstätter, Tina Haller",Austria,"November 11, 2020",2020,TV-MA,93 min,"Dramas, International Movies",A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort — and the family next door only adds to the tension.,Netflix
1062,Movie,Joe Rogan: Strange Times,Anthony Giordano,Joe Rogan,,"October 2, 2018",2018,TV-MA,64 min,Stand-Up Comedy,"Outspoken as ever, comedian Joe Rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in Boston.",Netflix
1063,Movie,Laal Rang,Syed Ahmad Afzal,"Randeep Hooda, Piaa Bajpai, Jaihind Kumar, Akshay Oberoi, Rajneesh Duggal, Ashutosh Kaushik, Meenakshi Dixit, Shreya Narayan, Rajendra Sethi",India,"March 1, 2018",2016,TV-14,143 min,"Dramas, International Movies, Thrillers","Eager for cash, Rajesh joins his friend Shankar's blood-theft operation. As Rajesh's greed grows and the cops close in, Shankar is poised to explode.",Netflix
1064,TV Show,Power Rangers Mystic Force,,"Firass Dirani, Angie Diaz, Richard Brancatisano, Melanie Vallejo, Nic Sampson, John Tui, Peta Rutter, Antonia Prebble, Barnie Duncan, Kelson Henderson, Donogh Rees, Geoff Dolan, Holly Shanahan",United States,"January 1, 2016",2006,TV-Y7,1 Season,Kids' TV,"When the wicked Undead Army is unleashed, sorceress Udonna empowers five teenagers – the Mystic Force Power Rangers – to save mankind.",Netflix
1065,Movie,Frozen River,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe, Mark Boone Junior, James Reilly, Jay Klaitz, John Canoe, Dylan Carusona, Michael Sky",United States,"July 1, 2019",2008,R,97 min,"Dramas, Independent Movies","On a Mohawk reservation on the Canadian border, Ray Eddy teams with a widowed tribe member to smuggle illegal immigrants into the United States.",Netflix
1066,Movie,Clarence Clemons: Who Do I Think I Am?,Nick Mead,Clarence Clemons,United States,"November 14, 2019",2019,TV-MA,88 min,"Documentaries, Music & Musicals",This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.,Netflix
1067,TV Show,What Happens to My Family,,"Settar Tanrıöğen, Uraz Kaygılaroğlu, Berna Koraltürk, Melis Tüzüngüç, Özgün Karaman, Tülay Bursa, Tolga Pancaroğlu, Ertunç Tuncer, Cansu Gültekin",Turkey,"May 5, 2017",2016,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas",A naïve young woman goes to Istanbul to meet the now-grown boy who jokingly promised to marry her in 11 years after she saved his life as a child.,Netflix
1068,Movie,Sebastián Marcelo Wainraich,"Raúl Campos, Jan Suter",Sebastián Marcelo Wainraich,Argentina,"January 26, 2018",2018,TV-MA,49 min,Stand-Up Comedy,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",Netflix
1069,Movie,In My Country,Frank Rajah Arase,"Sam Dede, Bimbo Manuel, Okawa Shaznay, Shan George, Austin Enabulele, Precious Udoh",,"October 18, 2019",2018,TV-MA,99 min,"Dramas, International Movies","A teacher turns to a dubious man to raise money for her daughter's life-saving surgery, a crisis that is unexpectedly catapulted to a national stage.",Netflix
1070,TV Show,Club Friday To Be Continued - The Promise,,"Jirayu La-ongmanee, Focus Jirakul",,"April 20, 2018",2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Two young lovers vow to stay friends through thick and thin, but separation tests their bond until fate allows them to reunite.",Netflix
1071,Movie,Digs & Discoveries: Mines of Mystery,Joey So,"Joseph May, Flaminia Cinque, Anna Francolini, Teresa Gallagher, Montserrat Lombard, Antonio Magro, Vincenzo Nicoli",,"March 15, 2020",2019,TV-Y,23 min,Children & Family Movies,"Amidst Italy's ancient sites and hidden treasures, Thomas is inspired to make his own special discovery, sending him on a journey to find a lost legend.",Netflix
1072,TV Show,Sparking Joy,,Marie Kondo,United States,"August 31, 2021",2021,TV-PG,1 Season,Reality TV,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",Netflix
1073,Movie,First Love,Paul Soriano,"Aga Muhlach, Bea Alonzo, Sandy Andolong, Albie Casiño, Edward Barber, Maureen Mann, Tim Donadt, Giselle Toengi, Raymond Lauchengco, Beverly Salviejo",Philippines,"November 12, 2020",2018,TV-MA,123 min,"Dramas, International Movies, Romantic Movies",A chance encounter soon intertwines the lives of a reserved businessman and a vibrant photographer who is living with a grave heart condition.,Netflix
1074,TV Show,Girls Incarcerated,,,United States,"June 21, 2019",2019,TV-MA,2 Seasons,"Docuseries, Reality TV","Fights, friendships, dating, rules. Teenage life is full of drama. But behind bars, the stakes are so much higher.",Netflix
1075,Movie,Khido Khundi,Rohit Jugraj,"Ranjit Bawa, Mandy Takhar, Manav Vij, Elnaaz Norouzi, Mahavir Bhullar, Guggu Gill, Seema Kaushal, Sukhbir Singh",India,"October 1, 2018",2018,TV-14,151 min,"Dramas, International Movies, Sports Movies",An embittered former hockey star must engage with the sport again to help his brother assemble a team for a momentous match against the British.,Netflix
1076,Movie,Sei,Raj Babu,"Nakhul, Aanchal Munjal, Nassar, Prakash Raj, Thalaivasal Vijay, Manobala, Jeyan Cherthala, Annadurai Kannadasan",India,"March 25, 2019",2018,TV-14,126 min,"Action & Adventure, Comedies, Dramas","An aspiring yet aimless actor takes over his ailing father's job as an ambulance driver, unwittingly getting involved in an organ-trafficking network.",Netflix
1077,Movie,Full Out 2: You Got This!,Jeff Deverett,"Sydney Cope, Logan Edra, Liza Wilk, Braedyn Bruner, Billie Merritt",United States,"January 1, 2021",2020,TV-Y,91 min,"Children & Family Movies, Dramas, Sports Movies","With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.",Netflix
1078,Movie,3 Heroines,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Indonesia,"January 5, 2019",2016,TV-PG,124 min,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,Netflix
1079,Movie,Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,"July 22, 2021",2014,TV-Y7,63 min,Children & Family Movies,"After a precious temple stone is stolen under his watch, Bheem trains in a special martial art to prepare for a showdown with the thief.",Netflix
1080,TV Show,Million Pound Menu,,,United Kingdom,"August 27, 2019",2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Reality TV",Next-gen restaurateurs get the chance to open their own pop-up eateries to impress the paying public – and a panel of discerning U.K. investors.,Netflix
1081,TV Show,The Worst Witch,,"Bella Ramsey, Clare Higgins, Meibh Campbell, Raquel Cassidy, Jenny Richardson, Miriam Petche, Tallulah Milligan, Wendy Craig, Shauna Shim","United Kingdom, Germany","July 6, 2021",2020,TV-G,4 Seasons,"British TV Shows, Kids' TV","After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books.",Netflix
1082,TV Show,Teasing Master Takagi-san,,"Rie Takahashi, Yuki Kaji, Konomi Kohara, M・A・O, Yui Ogura, Yuma Uchida, Kotori Koiwai, Nobuhiko Okamoto, Fukushi Ochiai",Japan,"December 6, 2019",2019,TV-PG,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","Teased constantly by classmate Takagi-san, middle-schooler Nishikata swears payback by trying (and failing) to give her a dose of her own medicine.",Netflix
1083,TV Show,Toon,,"Joep Vermolen, Amy van der Weerden, Loulou Hameleers, Robbert Bleij",Netherlands,"October 18, 2019",2017,TV-MA,2 Seasons,"International TV Shows, TV Comedies","Reclusive, socially awkward jingle composer Toon must navigate the nightmarish world of show biz after a viral video skyrockets him to fame.",Netflix
1084,Movie,Katt Williams: Kattpacalypse,Marcus Raboy,Katt Williams,United States,"July 3, 2018",2012,TV-MA,61 min,Stand-Up Comedy,"Urban comic Katt Williams ushers in Kattpacalypse, exploding with more energy than an atomic bomb and riffing on everything from Doomsday to Obama.",Netflix
1085,Movie,The Florida Project,Sean Baker,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, Valeria Cotto, Macon Blair, Caleb Landry Jones",United States,"April 6, 2020",2017,R,111 min,"Dramas, Independent Movies",A mischievous 6-year-old finds the magic in her own circumstances while living with her troubled mom in a budget motel near Disney World.,Netflix
1086,Movie,Adam Devine: Best Time of Our Lives,Jay Karas,Adam Devine,United States,"June 18, 2019",2019,TV-MA,59 min,Stand-Up Comedy,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",Netflix
1087,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,"Ben Rausch, Erica Lindbeck, Dante Basco, Brando Eaton, Stephen Kramer Glickman, Caroline Caliston, G.K. Bowes, Dan McCoy","United States, Japan","August 12, 2021",2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",Netflix
1088,Movie,Guna 369,Arjun Jandyala,"Adithya Menon, Kartikeya Gummakonda, Anagha LK",India,"November 15, 2019",2019,TV-MA,143 min,"Action & Adventure, Dramas, International Movies",A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.,Netflix
1089,Movie,O Vendedor de Sonhos,Jayme Monjardim,"César Troncoso, Dan Stulbach, Thiago Mendonça, Leonardo Medeiros",Brazil,"June 22, 2021",2016,TV-14,96 min,"Dramas, International Movies",A disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living.,Netflix
1090,Movie,Calico Critters: Everyone's Big Dream Flying in the Sky,Momoko Kamiya,Erika Harlacher,,"March 1, 2020",2019,TV-Y,11 min,Children & Family Movies,"In the Hazelnut Chipmunk Family, Dominic is a little boy who loves to play, but a big moment will make him more grown-up on one memorable day.",Netflix
1091,Movie,The Loud House Movie,Dave Needham,"Asher Bishop, David Tennant, Michelle Gomez, Jill Talley, Brian Stepanek, Catherine Taber, Liliana Mumy, Nika Futterman, Cristina Pucelli, Jessica DiCicco, Grey Griffin, Lara Jill Miller",,"August 20, 2021",2021,TV-Y7,88 min,"Children & Family Movies, Comedies, Music & Musicals","With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!",Netflix
1092,Movie,Monster High: Great Scarrier Reef,William Lau,"Larissa Galagher, Kate Higgins, Debi Derryberry, Salli Saffioti, America Young, Evan Smith, Lyndsy Kail, Rachel Staman, Cherami Leigh, Paula Rhodes, Erin Fitzgerald",United States,"October 1, 2017",2016,TV-Y7,72 min,Children & Family Movies,"At a Monster High party, Lagoona and pals are sucked into the reef, where she'll have to come to terms with her flaws and confront an old frenemy.",Netflix
1093,Movie,Sofía Niño de Rivera: Exposed,"Raúl Campos, Jan Suter",Sofía Niño de Rivera,Mexico,"June 24, 2016",2016,TV-MA,80 min,Stand-Up Comedy,Self-deprecating comic Sofía Niño de Rivera puts her sarcasm on full display in this stand-up special filmed live at Guadalajara's Degollado Theater.,Netflix
1094,Movie,Little Singham: Kaal Ka Badla,Prakash Satam,"Anamaya Verma, Arushi Talwar, Ganesh Divekar, Jigna Bhardwaj, Krishna Dasadiya, Neshma Chemburkar, Manoj Pandey, Parminder Ghumman, Pranav Vaidya, Saumya Daan, Sonal Kaushal, Sumriddhi Shukla",,"August 19, 2020",2020,TV-Y7,70 min,"Children & Family Movies, Comedies","Little Singham’s biggest enemy, the demon Kaal, is back and badder than ever — but this time, will he succeed in destroying the world’s best kid cop?",Netflix
1095,Movie,Kaagar,Makarand Mane,"Rinku Rajguru, Shubhankar Tawde, Shashank Shende, Suhas Palshikar, Bharati Patil, Milind Pathak, Umesh Jagtap, Shantanu Gangane, Vitthal Kale, Mahesh Bhosale",India,"September 10, 2020",2019,TV-MA,130 min,"Dramas, International Movies, Romantic Movies","When an activist begins aiding a shrewd political advisor — also his girlfriend’s father, personal agendas lead to betrayal as love and duty clash.",Netflix
1096,Movie,The Holiday Calendar,Bradley Walsh,"Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones, Genelle Williams, Ali Hassan, Rodrigo Fernandez-Stoll, Laura de Carteret, Kevin Hanchard, Romaine Waite",United States,"November 2, 2018",2018,TV-G,95 min,"Dramas, Romantic Movies",A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future – and pointing her toward love.,Netflix
1097,TV Show,Club de Cuervos Presents: The Ballad of Hugo Sánchez,,"Jesús Zavala, Ianis Guerrero, Mauro Mauad, Renato Gutz, Raúl Briones, Markin López, Guillermo Dorantes, Martha Claudia Moreno, Aldo Escalante, Sergio Mayer, Paola Moreno, Pedro Miguel Arce",United States,"June 18, 2018",2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Chava Iglesias's doting personal assistant Hugo Sánchez is tasked with leading Club de Cuervos to victory in Nicaragua – if only his mom will let him.,Netflix
1098,TV Show,Orange Is the New Black,,"Taylor Schilling, Kate Mulgrew, Laura Prepon, Jason Biggs, Natasha Lyonne, Michael Harney, Uzo Aduba, Danielle Brooks, Samira Wiley, Dascha Polanco, Selenis Leyva, Nick Sandow, Yael Stone, Taryn Manning, Lea DeLaria, Matt McGorry, Emma Myles, Vicky Jeudy, Laverne Cox, Pablo Schreiber, Lori Petty, Ruby Rose, Adrienne C. Moore, Jackie Cruz, Elizabeth Rodriguez",United States,"July 6, 2021",2019,TV-MA,7 Seasons,"TV Comedies, TV Dramas","A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds.""",Netflix
1099,Movie,Up Among  The Stars,Zoe Berriatúa,"Luis Callejo, Jorge Andreu, Macarena Gómez, Magüi Mira, Álvaro Roig, María Morales, José Luis García Pérez, Kiti Mánver, Ingrid García Jonsson, Liz Lobato",Spain,"January 29, 2019",2018,TV-MA,86 min,"Dramas, International Movies, Sci-Fi & Fantasy","A grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond.",Netflix
